Show,Season,Week_Number,Network_TV_Spend,Cable_TV_Spend,Digital_Spend,Model_2_Split
Show1,4,13,15701.177132033728,13084.314276694771,5233.725710677909,Training: Earlier Complete Seasons
Show1,4,14,16038.958213766313,13365.798511471923,5346.31940458877,Training: Earlier Complete Seasons
Show1,4,15,13279.822855276738,11066.519046063946,4426.607618425579,Training: Earlier Complete Seasons
Show1,5,1,4058.6741983855545,10146.685495963888,12176.022595156664,Test: Latest Season
Show1,5,2,5256.633716556678,13141.584291391697,15769.901149670037,Test: Latest Season
Show1,5,3,5769.758599627452,14424.39649906863,17309.275798882354,Test: Latest Season
Show1,5,4,7051.271779628287,17628.179449070714,21153.81533888486,Test: Latest Season
Show1,5,5,6641.390647230461,16603.476618076154,19924.171941691387,Test: Latest Season
Show1,5,6,7599.694027673182,18999.23506918296,22799.082083019548,Test: Latest Season
Show1,5,7,8235.335868743865,20588.339671859663,24706.0076062316,Test: Latest Season
Show1,5,8,7316.987187315327,18292.46796828832,21950.961561945984,Test: Latest Season
Show1,5,9,8194.871240928947,20487.17810232237,24584.61372278685,Test: Latest Season
Show1,5,10,7538.734485683184,18846.83621420796,22616.20345704956,Test: Latest Season
Show1,5,11,6738.1376340653305,16845.344085163328,20214.412902196,Test: Latest Season
Show1,5,12,5978.824204056032,14947.060510140082,17936.472612168098,Test: Latest Season
Show1,5,13,4730.30591764569,11825.764794114224,14190.91775293707,Test: Latest Season
Show1,5,14,4691.928821502681,11729.8220537567,14075.786464508044,Test: Latest Season
Show1,5,15,4138.836635774242,10347.091589435604,12416.509907322725,Test: Latest Season
Show2,1,1,13796.584096167571,16555.900915401086,5518.6336384670285,Training: Earlier Complete Seasons
Show2,1,2,13176.849493304451,15812.219391965342,5270.73979732178,Training: Earlier Complete Seasons
Show2,1,3,12261.917081245703,14714.300497494847,4904.7668324982815,Training: Earlier Complete Seasons
Show2,1,4,12098.439220875003,14518.127065050006,4839.375688350002,Training: Earlier Complete Seasons
Show2,1,5,8721.066696713006,10465.280036055608,3488.426678685202,Training: Earlier Complete Seasons
Show2,1,6,8792.186049190941,10550.62325902913,3516.8744196763764,Training: Earlier Complete Seasons
Show2,1,7,7975.891674830759,9571.070009796911,3190.3566699323032,Training: Earlier Complete Seasons
Show2,1,8,6060.921588525719,7273.105906230861,2424.3686354102874,Training: Earlier Complete Seasons
Show2,1,9,6945.820693883581,8334.984832660297,2778.3282775534326,Training: Earlier Complete Seasons
Show2,1,10,6467.290849247802,7760.749019097362,2586.9163396991207,Training: Earlier Complete Seasons
Show2,1,11,8012.084215169112,9614.501058202935,3204.833686067645,Training: Earlier Complete Seasons
Show2,1,12,8931.956978502907,10718.348374203488,3572.7827914011627,Training: Earlier Complete Seasons
Show2,1,13,12141.109367750329,14569.331241300397,4856.443747100131,Training: Earlier Complete Seasons
Show2,1,14,14414.0776188192,17296.893142583045,5765.631047527681,Training: Earlier Complete Seasons
Show2,1,15,15139.409078366516,18167.29089403982,6055.763631346606,Training: Earlier Complete Seasons
Show2,2,1,6685.693688709012,16714.23422177253,20057.08106612704,Training: Earlier Complete Seasons
Show2,2,2,5759.9641246536285,14399.910311634072,17279.892373960884,Training: Earlier Complete Seasons
Show2,2,3,5087.200775034579,12718.001937586449,15261.60232510374,Training: Earlier Complete Seasons
Show2,2,4,3701.177964833571,9252.944912083924,11103.533894500712,Training: Earlier Complete Seasons
Show2,2,5,3909.529478035234,9773.823695088086,11728.5884341057,Training: Earlier Complete Seasons
Show2,2,6,2947.936778471218,7369.841946178045,8843.810335413653,Training: Earlier Complete Seasons
Show2,2,7,3402.918351578658,8507.295878946647,10208.755054735975,Training: Earlier Complete Seasons
Show2,2,8,3657.1366877429937,9142.841719357484,10971.41006322898,Training: Earlier Complete Seasons
Show2,2,9,2509.779166570737,6274.447916426841,7529.33749971221,Training: Earlier Complete Seasons
Show2,2,10,2425.809155245002,6064.522888112503,7277.427465735004,Training: Earlier Complete Seasons
Show2,2,11,2597.0532081653937,6492.633020413484,7791.159624496179,Training: Earlier Complete Seasons
Show2,2,12,3459.4481545719564,8648.62038642989,10378.344463715868,Training: Earlier Complete Seasons
Show2,2,13,3983.25866821168,9958.1466705292,11949.776004635043,Training: Earlier Complete Seasons
Show2,2,14,5825.382863994916,14563.45715998729,17476.14859198475,Training: Earlier Complete Seasons
Show2,2,15,6128.706024873528,15321.76506218382,18386.118074620583,Training: Earlier Complete Seasons
Show2,3,1,15710.388645952771,6284.1554583811085,18852.466375143325,Training: Earlier Complete Seasons
Show2,3,2,12161.485400579728,4864.594160231892,14593.782480695674,Training: Earlier Complete Seasons
Show2,3,3,13612.422691627811,5444.969076651126,16334.907229953378,Training: Earlier Complete Seasons
Show2,3,4,9381.331470300616,3752.532588120247,11257.597764360738,Training: Earlier Complete Seasons
Show2,3,5,8295.375843252277,3318.150337300911,9954.451011902736,Training: Earlier Complete Seasons
Show2,3,6,9268.729043459718,3707.491617383887,11122.47485215166,Training: Earlier Complete Seasons
Show2,3,7,7046.626888579857,2818.650755431944,8455.95226629583,Training: Earlier Complete Seasons
Show2,3,8,7670.594950953096,3068.2379803812387,9204.713941143717,Training: Earlier Complete Seasons
Show2,3,9,7874.617275303834,3149.8469101215337,9449.540730364602,Training: Earlier Complete Seasons
Show2,3,10,5395.189349210639,2158.0757396842555,6474.227219052767,Training: Earlier Complete Seasons
Show2,3,11,6547.264623342196,2618.9058493368784,7856.717548010633,Training: Earlier Complete Seasons
Show2,3,12,9343.821830476243,3737.528732190497,11212.58619657149,Training: Earlier Complete Seasons
Show2,3,13,12707.14838459469,5082.859353837876,15248.578061513628,Training: Earlier Complete Seasons
Show2,3,14,12675.124864622774,5070.0499458491095,15210.149837547331,Training: Earlier Complete Seasons
Show2,3,15,14879.217234712669,5951.686893885068,17855.060681655203,Training: Earlier Complete Seasons
Show2,4,1,15782.912348425343,6313.164939370138,18939.494818110416,Training: Earlier Complete Seasons
Show2,4,2,13790.604473080162,5516.241789232065,16548.725367696192,Training: Earlier Complete Seasons
Show2,4,3,12080.938002193352,4832.375200877342,14497.125602632028,Training: Earlier Complete Seasons
Show2,4,4,10531.206213237994,4212.482485295198,12637.447455885593,Training: Earlier Complete Seasons
Show2,4,5,7988.550238647009,3195.420095458804,9586.26028637641,Training: Earlier Complete Seasons
Show2,4,6,8770.503168995147,3508.2012675980586,10524.603802794178,Training: Earlier Complete Seasons
Show2,4,7,8271.218951757868,3308.487580703147,9925.462742109445,Training: Earlier Complete Seasons
Show2,4,8,6964.236436480224,2785.69457459209,8357.083723776268,Training: Earlier Complete Seasons
Show2,4,9,8263.6643916901,3305.46575667604,9916.39727002812,Training: Earlier Complete Seasons
Show2,4,10,6733.178306300435,2693.2713225201737,8079.813967560522,Training: Earlier Complete Seasons
Show2,4,11,5662.733466084012,2265.0933864336043,6795.2801593008135,Training: Earlier Complete Seasons
Show2,4,12,9705.075607862953,3882.030243145181,11646.090729435542,Training: Earlier Complete Seasons
Show2,4,13,10636.982317232085,4254.792926892834,12764.378780678502,Training: Earlier Complete Seasons
Show2,4,14,15602.747373270333,6241.098949308133,18723.2968479244,Training: Earlier Complete Seasons
Show2,4,15,19129.020992584123,7651.608397033648,22954.825191100947,Training: Earlier Complete Seasons
Show2,5,1,16522.77182696692,5507.590608988974,13768.976522472434,Test: Latest Season
Show2,5,2,17619.71163628552,5873.237212095172,14683.093030237933,Test: Latest Season
Show2,5,3,14726.647310953049,4908.882436984349,12272.206092460872,Test: Latest Season
Show2,5,4,13218.37348113613,4406.124493712043,11015.311234280109,Test: Latest Season
Show2,5,5,12236.701353586916,4078.90045119564,10197.2511279891,Test: Latest Season
Show2,5,6,10033.315080682762,3344.4383602275875,8361.09590056897,Test: Latest Season
Show2,5,7,8916.040127226706,2972.013375742235,7430.033439355589,Test: Latest Season
Show2,5,8,8199.437013337028,2733.145671112343,6832.864177780858,Test: Latest Season
Show2,5,9,7675.358547564598,2558.4528491882,6396.132122970498,Test: Latest Season
Show2,5,10,7654.807252737691,2551.6024175792304,6379.006043948075,Test: Latest Season
Show2,5,11,7977.460094858555,2659.1533649528515,6647.883412382129,Test: Latest Season
Show2,5,12,11230.954944982092,3743.651648327364,9359.12912081841,Test: Latest Season
Show2,5,13,15312.730595065235,5104.24353168841,12760.608829221028,Test: Latest Season
Show2,5,14,17379.710426616653,5793.236808872217,14483.092022180545,Test: Latest Season
Show2,5,15,23561.55581586648,7853.85193862216,19634.629846555403,Test: Latest Season
Show3,1,1,10430.72482153076,12516.869785836914,4172.289928612305,Training: Earlier Complete Seasons
Show3,1,2,15900.211458237023,19080.25374988443,6360.08458329481,Training: Earlier Complete Seasons
Show3,1,3,15179.524782521436,18215.429739025723,6071.809913008576,Training: Earlier Complete Seasons
Show3,1,4,14693.853927188116,17632.62471262574,5877.541570875247,Training: Earlier Complete Seasons
Show3,1,5,15944.83482489087,19133.80178986905,6377.933929956348,Training: Earlier Complete Seasons
Show3,1,6,20590.57081565625,24708.684978787507,8236.228326262502,Training: Earlier Complete Seasons
Show3,1,7,20949.72260287317,25139.667123447813,8379.88904114927,Training: Earlier Complete Seasons
Show3,1,8,22958.5724873402,27550.28698480824,9183.42899493608,Training: Earlier Complete Seasons
Show3,1,9,20839.60547746777,25007.526572961327,8335.842190987109,Training: Earlier Complete Seasons
Show3,1,10,18233.579548181257,21880.295457817505,7293.431819272503,Training: Earlier Complete Seasons
Show3,1,11,15411.010576721565,18493.21269206588,6164.404230688626,Training: Earlier Complete Seasons
Show3,1,12,12987.478737725718,15584.974485270865,5194.991495090287,Training: Earlier Complete Seasons
Show3,1,13,13160.413076234208,15792.495691481048,5264.165230493682,Training: Earlier Complete Seasons
Show3,1,14,13293.549544069556,15952.259452883469,5317.419817627822,Training: Earlier Complete Seasons
Show3,1,15,10943.671868710931,13132.406242453118,4377.468747484373,Training: Earlier Complete Seasons
Show3,2,1,9379.565594237156,11255.478713084589,3751.8262376948624,Training: Earlier Complete Seasons
Show3,2,2,12716.47615731398,15259.771388776771,5086.590462925591,Training: Earlier Complete Seasons
Show3,2,3,14836.167685326913,17803.401222392295,5934.467074130765,Training: Earlier Complete Seasons
Show3,2,4,14650.943406105322,17581.132087326387,5860.377362442129,Training: Earlier Complete Seasons
Show3,2,5,18131.65197490273,21757.98236988328,7252.66078996109,Training: Earlier Complete Seasons
Show3,2,6,19757.195696947503,23708.634836337,7902.878278779,Training: Earlier Complete Seasons
Show3,2,7,18979.34936179152,22775.219234149823,7591.739744716609,Training: Earlier Complete Seasons
Show3,2,8,22195.25862931775,26634.3103551813,8878.1034517271,Training: Earlier Complete Seasons
Show3,2,9,21013.805945324548,25216.567134389457,8405.52237812982,Training: Earlier Complete Seasons
Show3,2,10,20356.62473236276,24427.949678835303,8142.649892945103,Training: Earlier Complete Seasons
Show3,2,11,18610.99325087509,22333.191901050108,7444.397300350037,Training: Earlier Complete Seasons
Show3,2,12,13197.444844963637,15836.933813956364,5278.977937985454,Training: Earlier Complete Seasons
Show3,2,13,12483.608363382227,14980.330036058676,4993.443345352891,Training: Earlier Complete Seasons
Show3,2,14,12875.553388418764,15450.664066102518,5150.221355367506,Training: Earlier Complete Seasons
Show3,2,15,11264.770661691651,13517.724794029984,4505.908264676661,Training: Earlier Complete Seasons
Show3,3,1,11266.122521042194,4506.449008416877,13519.347025250632,Training: Earlier Complete Seasons
Show3,3,2,17315.914363318403,6926.365745327361,20779.09723598208,Training: Earlier Complete Seasons
Show3,3,3,15101.272158133095,6040.508863253238,18121.52658975972,Training: Earlier Complete Seasons
Show3,3,4,17896.444778861674,7158.57791154467,21475.73373463401,Training: Earlier Complete Seasons
Show3,3,5,19560.717434809285,7824.286973923715,23472.860921771146,Training: Earlier Complete Seasons
Show3,3,6,20922.37567220781,8368.950268883125,25106.850806649378,Training: Earlier Complete Seasons
Show3,3,7,20752.994475770687,8301.197790308275,24903.593370924824,Training: Earlier Complete Seasons
Show3,3,8,23054.934043914145,9221.97361756566,27665.920852696978,Training: Earlier Complete Seasons
Show3,3,9,18360.194726175243,7344.077890470097,22032.233671410293,Training: Earlier Complete Seasons
Show3,3,10,17932.373987620394,7172.949595048158,21518.84878514448,Training: Earlier Complete Seasons
Show3,3,11,16019.540965389777,6407.816386155911,19223.44915846773,Training: Earlier Complete Seasons
Show3,3,12,15431.44000926478,6172.576003705911,18517.72801111773,Training: Earlier Complete Seasons
Show3,3,13,16964.07047449922,6785.628189799689,20356.884569399062,Training: Earlier Complete Seasons
Show3,3,14,9958.450784581531,3983.380313832613,11950.14094149784,Training: Earlier Complete Seasons
Show3,3,15,11449.564489686978,4579.825795874791,13739.477387624373,Training: Earlier Complete Seasons
Show3,4,1,8986.375852296802,3594.550340918721,10783.651022756165,Training: Earlier Complete Seasons
Show3,4,2,11910.085167763207,4764.034067105284,14292.10220131585,Training: Earlier Complete Seasons
Show3,4,3,15841.357995667666,6336.543198267066,19009.6295948012,Training: Earlier Complete Seasons
Show3,4,4,16174.735744974849,6469.894297989939,19409.682893969817,Training: Earlier Complete Seasons
Show3,4,5,15932.598610840523,6373.039444336209,19119.11833300863,Training: Earlier Complete Seasons
Show3,4,6,18237.796285382206,7295.118514152882,21885.35554245865,Training: Earlier Complete Seasons
Show3,4,7,22884.85231914573,9153.940927658292,27461.82278297488,Training: Earlier Complete Seasons
Show3,4,8,19863.50007489185,7945.400029956741,23836.20008987022,Training: Earlier Complete Seasons
Show3,4,9,20328.66760171924,8131.467040687696,24394.401122063085,Training: Earlier Complete Seasons
Show3,4,10,18451.05031819068,7380.420127276272,22141.26038182881,Training: Earlier Complete Seasons
Show3,4,11,15739.652475969797,6295.860990387919,18887.58297116376,Training: Earlier Complete Seasons
Show3,4,12,18587.66952447754,7435.067809791016,22305.20342937305,Training: Earlier Complete Seasons
Show3,4,13,14648.766000131956,5859.506400052781,17578.519200158345,Training: Earlier Complete Seasons
Show3,4,14,9765.131526541703,3906.052610616682,11718.157831850049,Training: Earlier Complete Seasons
Show3,4,15,10914.058194395817,4365.623277758326,13096.86983327498,Training: Earlier Complete Seasons
Show3,5,1,4002.0915150992623,12006.274545297789,10005.228787748156,Test: Latest Season
Show3,5,2,5426.216667398112,16278.650002194336,13565.54166849528,Test: Latest Season
Show3,5,3,5261.4167208956,15784.2501626868,13153.541802239,Test: Latest Season
Show3,5,4,6354.812287628422,19064.436862885264,15887.030719071056,Test: Latest Season
Show3,5,5,7503.562342128897,22510.68702638669,18758.90585532225,Test: Latest Season
Show3,5,6,8537.379081133668,25612.137243401,21343.447702834168,Test: Latest Season
Show3,5,7,7542.603079666477,22627.809238999434,18856.50769916619,Test: Latest Season
Show3,5,8,8284.713226422044,24854.139679266133,20711.783066055108,Test: Latest Season
Show3,5,9,7581.165976831076,22743.49793049323,18952.91494207769,Test: Latest Season
Show3,5,10,6866.941788313192,20600.825364939574,17167.35447078298,Test: Latest Season
Show3,5,11,7923.67326386278,23771.019791588336,19809.183159656943,Test: Latest Season
Show3,5,12,6370.396965894463,19111.19089768339,15925.992414736158,Test: Latest Season
Show3,5,13,4815.431290468444,14446.293871405333,12038.578226171112,Test: Latest Season
Show3,5,14,5347.524218965605,16042.572656896811,13368.810547414012,Test: Latest Season
Show3,5,15,5195.209798719699,15585.629396159098,12988.02449679925,Test: Latest Season
Show4,1,1,6619.479156330688,16548.697890826723,19858.437468992062,Training: Earlier Complete Seasons
Show4,1,2,4543.194661096064,11357.98665274016,13629.583983288192,Training: Earlier Complete Seasons
Show4,1,3,4486.003937077338,11215.009842693344,13458.011811232018,Training: Earlier Complete Seasons
Show4,1,4,4587.242396454553,11468.105991136385,13761.72718936366,Training: Earlier Complete Seasons
Show4,1,5,3185.941897502132,7964.854743755331,9557.825692506396,Training: Earlier Complete Seasons
Show4,1,6,3580.7380896501354,8951.845224125338,10742.214268950407,Training: Earlier Complete Seasons
Show4,1,7,3463.275231459429,8658.188078648574,10389.825694378287,Training: Earlier Complete Seasons
Show4,1,8,2721.920858526576,6804.802146316439,8165.762575579725,Training: Earlier Complete Seasons
Show4,1,9,2769.132222239927,6922.830555599818,8307.39666671978,Training: Earlier Complete Seasons
Show4,1,10,1737.959826839381,4344.899567098453,5213.879480518144,Training: Earlier Complete Seasons
Show4,1,11,2308.01460651404,5770.036516285099,6924.043819542118,Training: Earlier Complete Seasons
Show4,1,12,3550.850173421063,8877.125433552657,10652.55052026319,Training: Earlier Complete Seasons
Show4,1,13,4126.045071359428,10315.11267839857,12378.135214078286,Training: Earlier Complete Seasons
Show4,1,14,6730.180825846161,16825.4520646154,20190.542477538485,Training: Earlier Complete Seasons
Show4,1,15,5876.474483684137,14691.186209210342,17629.42345105241,Training: Earlier Complete Seasons
Show4,2,1,17207.919923945425,5735.97330798181,14339.933269954525,Training: Earlier Complete Seasons
Show4,2,2,16281.547356352645,5427.182452117549,13567.956130293873,Training: Earlier Complete Seasons
Show4,2,3,16181.22936596494,5393.743121988312,13484.35780497078,Training: Earlier Complete Seasons
Show4,2,4,10460.482658202256,3486.8275527340857,8717.068881835214,Training: Earlier Complete Seasons
Show4,2,5,11482.111287930817,3827.370429310272,9568.42607327568,Training: Earlier Complete Seasons
Show4,2,6,10296.23971990586,3432.079906635287,8580.199766588217,Training: Earlier Complete Seasons
Show4,2,7,8696.402372203762,2898.800790734587,7247.001976836467,Training: Earlier Complete Seasons
Show4,2,8,9415.893126836943,3138.6310422789816,7846.577605697453,Training: Earlier Complete Seasons
Show4,2,9,8523.499888443543,2841.1666294811807,7102.916573702952,Training: Earlier Complete Seasons
Show4,2,10,7251.261266191787,2417.087088730596,6042.71772182649,Training: Earlier Complete Seasons
Show4,2,11,7768.1330369923,2589.377678997433,6473.444197493584,Training: Earlier Complete Seasons
Show4,2,12,10507.478712001075,3502.4929040003585,8756.232260000897,Training: Earlier Complete Seasons
Show4,2,13,14303.403102569626,4767.801034189874,11919.502585474687,Training: Earlier Complete Seasons
Show4,2,14,18506.41252791868,6168.80417597289,15422.010439932228,Training: Earlier Complete Seasons
Show4,2,15,23834.09173607044,7944.697245356813,19861.74311339204,Training: Earlier Complete Seasons
Show4,3,1,5257.310700703891,15771.932102111672,13143.276751759726,Training: Earlier Complete Seasons
Show4,3,2,6499.839307851572,19499.51792355472,16249.59826962893,Training: Earlier Complete Seasons
Show4,3,3,3794.015751653678,11382.047254961037,9485.039379134194,Training: Earlier Complete Seasons
Show4,3,4,4009.630354164084,12028.891062492252,10024.075885410208,Training: Earlier Complete Seasons
Show4,3,5,3630.280185080426,10890.84055524128,9075.700462701065,Training: Earlier Complete Seasons
Show4,3,6,3524.911497509154,10574.734492527465,8812.278743772886,Training: Earlier Complete Seasons
Show4,3,7,3014.132297200523,9042.39689160157,7535.330743001308,Training: Earlier Complete Seasons
Show4,3,8,2937.563324892817,8812.689974678451,7343.9083122320435,Training: Earlier Complete Seasons
Show4,3,9,2648.3783110593254,7945.134933177976,6620.945777648312,Training: Earlier Complete Seasons
Show4,3,10,2419.877633928631,7259.632901785894,6049.694084821579,Training: Earlier Complete Seasons
Show4,3,11,2789.8976820911207,8369.693046273362,6974.744205227801,Training: Earlier Complete Seasons
Show4,3,12,3772.912784172981,11318.738352518943,9432.281960432452,Training: Earlier Complete Seasons
Show4,3,13,4387.628333662834,13162.885000988505,10969.070834157086,Training: Earlier Complete Seasons
Show4,3,14,6306.19707078638,18918.591212359144,15765.49267696595,Training: Earlier Complete Seasons
Show4,3,15,7067.862528601103,21203.58758580332,17669.65632150276,Training: Earlier Complete Seasons
Show4,4,1,19463.151813910128,16219.293178258438,6487.717271303375,Training: Earlier Complete Seasons
Show4,4,2,17083.332067377236,14236.110056147696,5694.444022459079,Training: Earlier Complete Seasons
Show4,4,3,12970.421341695928,10808.684451413272,4323.4737805653085,Training: Earlier Complete Seasons
Show4,4,4,11530.064586616558,9608.3871555138,3843.35486220552,Training: Earlier Complete Seasons
Show4,4,5,11054.359136698213,9211.965947248513,3684.786378899404,Training: Earlier Complete Seasons
Show4,4,6,10913.523701588709,9094.603084657256,3637.841233862902,Training: Earlier Complete Seasons
Show4,4,7,9622.702034391714,8018.918361993096,3207.567344797238,Training: Earlier Complete Seasons
Show4,4,8,9105.594644977904,7587.995537481586,3035.198214992635,Training: Earlier Complete Seasons
Show4,4,9,9424.905662908895,7854.088052424081,3141.635220969632,Training: Earlier Complete Seasons
Show4,4,10,7257.9306428980735,6048.275535748396,2419.310214299358,Training: Earlier Complete Seasons
Show4,4,11,8136.3322654740305,6780.276887895025,2712.11075515801,Training: Earlier Complete Seasons
Show4,4,12,10707.603744125814,8923.003120104846,3569.2012480419385,Training: Earlier Complete Seasons
Show4,4,13,13834.99372686436,11529.161439053632,4611.664575621454,Training: Earlier Complete Seasons
Show4,4,14,19264.305535949195,16053.587946624331,6421.435178649733,Training: Earlier Complete Seasons
Show4,4,15,22269.42791791824,18557.8565982652,7423.142639306077,Training: Earlier Complete Seasons
Show4,5,1,6488.105781600382,16220.264454000957,19464.317344801148,Test: Latest Season
Show4,5,2,6056.5065038326775,15141.266259581693,18169.51951149803,Test: Latest Season
Show4,5,3,4724.187525341157,11810.468813352894,14172.562576023474,Test: Latest Season
Show4,5,4,4349.080852598664,10872.70213149666,13047.242557795991,Test: Latest Season
Show4,5,5,3322.194254882244,8305.48563720561,9966.582764646731,Test: Latest Season
Show4,5,6,3539.714177996037,8849.285444990093,10619.142533988112,Test: Latest Season
Show4,5,7,3172.4540182389587,7931.135045597396,9517.362054716878,Test: Latest Season
Show4,5,8,3029.098789497816,7572.74697374454,9087.296368493446,Test: Latest Season
Show4,5,9,2951.508028514569,7378.7700712864225,8854.524085543706,Test: Latest Season
Show4,5,10,2361.0289671685355,5902.5724179213385,7083.086901505607,Test: Latest Season
Show4,5,11,3109.47101374769,7773.677534369225,9328.41304124307,Test: Latest Season
Show4,5,12,3276.37938245368,8190.948456134201,9829.13814736104,Test: Latest Season
Show4,5,13,4141.882511114355,10354.706277785886,12425.647533343066,Test: Latest Season
Show4,5,14,6455.764148239324,16139.41037059831,19367.292444717976,Test: Latest Season
Show4,5,15,7399.997275860298,18499.993189650748,22199.991827580896,Test: Latest Season
Show5,1,1,19123.41567069388,6374.471890231293,15936.179725578231,Training: Earlier Complete Seasons
Show5,1,2,17081.26956846045,5693.75652282015,14234.391307050377,Training: Earlier Complete Seasons
